ts,lat,lon,time
1772083575235,34.091863,-117.994045,2026-02-26 05:26:15.235
1772083584351,34.091351,-117.996351,2026-02-26 05:26:24.351
1772083603507,34.090171,-117.99805,2026-02-26 05:26:43.507
1772083616637,34.089008,-117.999845,2026-02-26 05:26:56.637
1772083627799,34.088176,-118.00178,2026-02-26 05:27:07.799
1772083640914,34.087406,-118.003901,2026-02-26 05:27:20.914
1772083686220,34.086643,-118.005249,2026-02-26 05:28:06.220
1772083866086,34.086596,-118.005297,2026-02-26 05:31:06.086
1772084045903,34.086598,-118.005332,2026-02-26 05:34:05.903
1772084226547,34.086579,-118.005309,2026-02-26 05:37:06.547
1772084406596,34.086633,-118.005315,2026-02-26 05:40:06.596
1772084586068,34.08655,-118.005303,2026-02-26 05:43:06.068
1772084766638,34.086543,-118.005288,2026-02-26 05:46:06.638
1772084946354,34.086553,-118.005289,2026-02-26 05:49:06.354
1772085126026,34.086556,-118.005296,2026-02-26 05:52:06.026
1772085306751,34.086554,-118.005296,2026-02-26 05:55:06.751
1772085486316,34.086569,-118.005303,2026-02-26 05:58:06.316
1772085665919,34.086557,-118.0053,2026-02-26 06:01:05.919
1772085927995,34.086571,-118.005282,2026-02-26 06:05:27.995
1772086107768,34.086581,-118.005295,2026-02-26 06:08:27.768
1772086424285,34.086547,-118.005302,2026-02-26 06:13:44.285
1772086604968,34.086547,-118.005302,2026-02-26 06:16:44.968
1772086784823,34.086547,-118.005302,2026-02-26 06:19:44.823
1772086979692,34.086547,-118.005302,2026-02-26 06:22:59.692
1772087160728,34.086547,-118.005302,2026-02-26 06:26:00.728
1772087436654,34.086524,-118.005299,2026-02-26 06:30:36.654
1772087616466,34.086543,-118.005259,2026-02-26 06:33:36.466
1772087909669,34.086611,-118.00529,2026-02-26 06:38:29.669
1772088089325,34.086602,-118.005312,2026-02-26 06:41:29.325
1772088269004,34.086587,-118.005305,2026-02-26 06:44:29.004
1772088448738,34.086601,-118.005298,2026-02-26 06:47:28.738
1772088629487,34.08659,-118.005301,2026-02-26 06:50:29.487
1772088809096,34.086596,-118.005315,2026-02-26 06:53:29.096
1772088988701,34.086598,-118.005256,2026-02-26 06:56:28.701
